,Nr,Sex,Age,Stature,Femur.right,Femur.left,Femur.right.dry,Femur.left.dry,Tibia.right,Tibia.left,Fibula.right,Fibula.left,Humerus.right,Humerus.left,Radius.right,Radius.left,Ulna.right,Ulna.left
71,21,f,61,152,40.2,40.6,40,40.4,32.3,32.3,32,32,29.5,29,21.4,21,23,22.5
72,22,f,63,153,41.6,41.4,41,40.9,32.5,32.6,32,31.6,29.7,29.2,19.9,19.5,22.7,22.2
73,23,f,41,153,40,39.2,39.5,39,30.4,30.7,30.4,30.4,29.8,29,20,19.8,21.7,21
74,24,f,37,153,43.3,43.3,43,43,34.1,33.8,33.4,33.3,29.6,29.3,22.1,21.7,23.5,23.4
75,25,f,35,153,42.8,42.3,42.5,42,33.8,33.5,33.2,33.3,29.7,29.1,21.7,21.3,22.7,22.5
76,26,f,34,154,39.8,39.8,39.4,39.4,32,32.4,31.5,31.5,28.5,27.9,20.7,20.5,22.5,22.2
77,27,f,74,154,41.2,40.6,41,40.5,33.2,33.4,32.4,32.4,27.5,26.8,20.4,20.1,22.3,22
78,28,f,72,154,43.5,43.4,43.5,43.2,34.6,34.6,34.5,34.5,30.8,30.4,22,21.9,24,23.6
79,29,f,69,155,39.5,39.2,39.4,38.9,32.5,32.5,32,NA,28.3,26.5,20.6,20.2,22.6,22.4
80,30,f,50,155,41.2,41.4,40.5,41.2,33.1,33.2,33.2,33.3,30.5,30.2,22.4,22.3,24,24
81,31,f,25,155,40.6,40.4,40.4,40,32,32,31.5,31.5,28.8,NA,20.7,NA,21.5,NA
82,32,f,55,155,42,42,41.8,41.8,NA,33.3,33.4,33.1,30.2,29.4,22,21.5,24,23.4
83,33,f,47,155,41.4,41.5,41.1,41,34.1,33.8,33.1,32.9,29.4,28.5,22,21.7,23.4,23.3
84,34,f,33,155,41.4,41.5,40.6,41,33.5,33.8,33,NA,27.9,27.9,21,20.9,22.5,22.2
85,35,f,71,156,45.4,45.4,45.1,45.1,36.4,36.2,35.4,35.2,31.7,NA,22.9,NA,24.1,NA
86,36,f,60,156,42.8,42.7,42.4,42.3,34.4,34.2,34.2,34,29.6,29,NA,21.5,NA,23
87,37,f,67,156,41.8,42.4,41.5,42.1,34.7,34.5,34.2,34.1,30.5,29.7,21.5,21,23.6,23.3
88,38,f,24,157,42.7,42.7,42.4,42.5,35.2,35.3,34.2,34.2,31,30.4,22.5,22.3,24.1,23.8
89,39,f,67,157,41.1,41.2,41,41,33.9,33.9,33,33,28.8,28,21,20.5,22.7,22.4
90,40,f,71,158,43.7,44,43.4,43.3,36.7,36.8,36.4,36.3,31.3,30.8,21.9,21.7,23.6,23.3
91,41,f,71,158,43.7,44,43.5,44,34.6,34.4,35.2,34.9,30.3,29.8,23,23,24.5,NA
92,42,f,75,159,42,41.5,42,41.5,34.9,NA,34.4,NA,30.7,30.6,22.5,22.2,24,24
93,43,f,34,159,40.1,40.6,39.8,40.4,NA,33,NA,32.5,29.2,28.4,19.8,NA,21.5,NA
94,44,f,60,159,43.4,43.2,43.1,43,36.5,36.2,36,36,31.4,31.5,23.7,23.6,26,25.8
95,45,f,58,160,44,44.6,43.5,44,35.1,35.4,35,35.4,32.4,31.8,23.4,23,25.4,25.2
96,46,f,68,163,45.1,45,44.3,44.5,35,34.6,34.2,34.2,31.5,31.5,22.4,22,24,23.8
97,47,f,70,163,45.9,45.7,45.6,45.5,37,37.2,37.1,36.8,33.2,32.4,23.4,23.2,25.5,25.2
98,48,f,53,163,44.8,45,44.4,44.7,35,34.6,34.5,34.2,31.6,31.2,22.7,22.5,24.8,24.5
99,49,f,50,165,44,43.8,43.5,43.6,35.9,35.8,35.5,35.5,32.8,32.5,23,22.7,25,24
100,50,f,42,171,48.5,47.5,48,47,38.5,38,37.7,37.3,33.5,33.5,23.6,23.3,25.5,24.9
