"Date" "Location...Operator" "Aircraft.Type...Registration" "Fatalities" "year" "date" "casualties_onboard" "souls_onboard" "casualities_ground"
"3225" "04 Jun 1954" "Sao Paulo, BrazilVarig" "Curtiss C-46APP-VBZ" "3/3(0)" 1954 1954-06-04 3 3 0
"3322" "08 Jun 1954" "Da Nang, VietnamSoc. de Tr. Aériens d'Extrême Orient" "Douglas C-47-DLF-BCCL" "4/4(0)" 1954 1954-06-08 4 4 0
"3422" "19 Jun 1954" "Off Folkestone, EnglandSwissair" "Convair CV-240-4HB-IRW" "3/9(0)" 1954 1954-06-19 3 9 0
"3520" "02 Jul 1954" "Near Salvador, BrazilMilitary - Brazilian Air Force" "Lockheed C-28C-28-2901" "24/24(0)" 1954 1954-07-02 24 24 0
"3619" "23 Jul 1954" "Off Hainan Island, ChinaCathay Pacific Airways" "Douglas DC-4VR-HEU" "10/18(0)" 1954 1954-07-23 10 18 0
"3717" "08 Aug 1954" "Near McGrath, AlaskaAlaska Airlines" "Douglas DC-2N91008" "2/2(0)" 1954 1954-08-08 2 2 0
"3817" "09 Aug 1954" "Terceira Island, Azores, PortugalAVIANCA" "Lockheed 749A-79 ConstellationHK-163" "30/30(0)" 1954 1954-08-09 30 30 0
"3916" "12 Aug 1954" "VietnamAutrex" "Douglas DC-3F-BSGS" "3/3(0)" 1954 1954-08-12 3 3 0
"4015" "16 Aug 1954" "Near Pakse, LaosAir Vietnam (South Vietnam)" "Bristol 170 Freighter 21EF-VNAI" "47/55(0)" 1954 1954-08-16 47 55 0
"4124" "22 Aug 1954" "Near Mason City, IowaBraniff Airlines" "Douglas DC-3N61451" "12/19(0)" 1954 1954-08-22 12 19 0
"4222" "23 Aug 1954" "Off IJuuiden, North SeaKLM Royal Dutch Airlines" "Douglas DC-6BPH-DFO" "21/21(0)" 1954 1954-08-23 21 21 0
"4319" "26 Aug 1954" "Sakhalin Oblast, RussiaAeroflot" "Lisunov LI-2CCCP-L4679" "26/27(1)" 1954 1954-08-26 26 27 1
"4416" "27 Aug 1954" "Near Rapid City, South DekotaMilitary - U.S. Air Force" "Convair RB-36H51-13722" "26/27(0)" 1954 1954-08-27 26 27 0
"4515" "05 Sep 1954" "Foynes, IrelandKLM Royal Dutch Airlines" "Lockheed 1049C-55-81 S ConstellationPH-LKY" "28/56(0)" 1954 1954-09-05 28 56 0
"4613" "12 Sep 1954" "Off Rio de Janeiro, BrazilCruzeiro" "Douglas DC-3PP-CDJ" "6/26(0)" 1954 1954-09-12 6 26 0
"4713" "15 Sep 1954" "Cairo, EgyptMisrair" "Vickers 634 VikingSU-AFO" "3/4(0)" 1954 1954-09-15 3 4 0
"4813" "27 Sep 1954" "Novosibirsk, RussiaAeroflot" "Ilyushin IL-12CCCP-L1365" "29/29(0)" 1954 1954-09-27 29 29 0
"4913" "24 Oct 1954" "Near Nice, ItalyMilitary - U.S. Air Force" "Douglas C-47A-DL43-16044" "21/21(0)" 1954 1954-10-24 21 21 0
"5013" "28 Oct 1954" "Krasnoyarsk Territory, RussiaAeroflot" "Ilyushin IL -12 CCCP-L1789" "16/16(0)" 1954 1954-10-28 16 16 0
"5121" "30 Oct 1954" "Off Ocean City, MarylandMilitary - U.S. Navy" "Lockheed R7V-1128441" "42/42(0)" 1954 1954-10-30 42 42 0
"5218" "31 Oct 1954" "Mangalore, AustraliaTAA" "Vickers 720 ViscountVH-TVA" "3/8(0)" 1954 1954-10-31 3 8 0
"5315" "16 Nov 1954" "Jirishanga,Cerro de Pasco, PeruTAM (Brazil)" "Douglas DC-3FAP-403" "24/24(0)" 1954 1954-11-16 24 24 0
"5413" "30 Nov 1954" "Berlin, New HampshireNortheast Airlines" "Douglas DC-3N17891" "2/7(0)" 1954 1954-11-30 2 7 0
"5512" "04 Dec 1954" "Near Luang Pragang, LaosAir Laos" "Douglas DC-3F-BEIA" "29/29(0)" 1954 1954-12-04 29 29 0
"5612" "12 Dec 1954" "Bratislava, SlovakiaCeskoslovenské Aerolinie" "Douglas C-47AOK-WDK" "4/4(0)" 1954 1954-12-12 4 4 0
"5710" "18 Dec 1954" "New York, New YorkLinee Aeree Italiane" "Douglas DC-6BI-LINE" "26/32(0)" 1954 1954-12-18 26 32 0
"5810" "18 Dec 1954" "Near Bolivar, VenezuelaLinea Aeropostal Venezolana" "Douglas C-47AYV-C-AMP" "2/2(0)" 1954 1954-12-18 2 2 0
"5910" "22 Dec 1954" "Pittsburgh, PennsylvaniaJohnson Flying Service" "Douglas DC-3N24320" "10/28(0)" 1954 1954-12-22 10 28 0
"609" "25 Dec 1954" "Prestwick, Ayrshire, ScotlandBritish Overseas Airways" "Boeing B377-10-28 StratocruiserG-ALSA" "28/36(0)" 1954 1954-12-25 28 36 0
"6119" "31 Dec 1954" "Irkutsk, RussiaAeroflot" "Ilyushin II-14?" "17/17(0)" 1954 1954-12-31 17 17 0
"1144" "01 Jan 1955" "Near Anchorage, AlaskaMilitary - US Air Force" "Douglas C47?" "12/12(0)" 1955 1955-01-01 12 12 0
"2139" "11 Jan 1955" "Off Skellings, IrelandMilitary -Royal Air Force" "Avro Shackleton M-2 / Avro Shakleton M-2WG531 / Wl743" "18/18(0)" 1955 1955-01-11 18 18 0
"3106" "12 Jan 1955" "Greater Cincinnati Airport, Covington, KentuckyTrans World Airlines / Castleton Inc." "Martin 202A / DC-3N93211/N999B" "15/15(0)" 1955 1955-01-12 15 15 0
"4101" "15 Jan 1955" "London, Ontario, CanadaOntario Hydro" "Grumman G-73 MallardCF-GEU" "1/5(0)" 1955 1955-01-15 1 5 0
"580" "19 Jan 1955" "Des Moines, IowaUnited Air Lines" "Convair CV-340N73154" "0/39(0)" 1955 1955-01-19 0 39 0
"660" "31 Jan 1955" "Lapadrera, ColombiaInteramericana de Aviacion" "Consolidated PBY-5 CatalinaHK-1000E" "5/5(0)" 1955 1955-01-31 5 5 0
"747" "02 Feb 1955" "Nagpur, IndiaIndian Airlines" "Douglas DC-3VT-CVB" "10/10(0)" 1955 1955-02-02 10 10 0
"837" "05 Feb 1955" "Near Calabar, NigeriaWest African Airways" "Bristol 170 Freighter 21EVR-NAD" "13/13(0)" 1955 1955-02-05 13 13 0
"934" "13 Feb 1955" "Abruzzio Mountains, ItalySabena" "Douglas DC-6OO-SDB" "29/29(0)" 1955 1955-02-13 29 29 0
"1034" "19 Feb 1955" "Albuquerque, New MexicoTrans World Airlines" "Martin 404N40416" "16/16(0)" 1955 1955-02-19 16 16 0
"1145" "23 Feb 1955" "Salisbury,  ZimbabweCentral African Airways" "Douglas DC-3VP-YKO" "1/26(0)" 1955 1955-02-23 1 26 0
"1235" "26 Feb 1955" "Formosa, Argentinade Havilland Dove" "de Havilland DH.104 Dove LQ-XWW" "6/7(?)" 1955 1955-02-26 NA NA NA
"1333" "06 Mar 1955" "Vitoria da Conquista, BrazilREAL" "Douglas DC-3PP-YPZ" "5/21(0)" 1955 1955-03-06 5 21 0
"1431" "07 Mar 1955" "Near Cuidad de Valles, MexicPrivate" "Lockheed 18 LodeStarXB-ZEH" "6/6(?)" 1955 1955-03-07 NA NA NA
"1529" "08 Mar 1955" "Mascota, MexicoMexicana" "Douglas DC-3XA-DIK" "26/26(0)" 1955 1955-03-08 26 26 0
"1629" "09 Mar 1955" "Trujillo, ColombiaAVIANCA" "Douglas C-47AHK-328" "8/8(0)" 1955 1955-03-09 8 8 0
"1729" "20 Mar 1955" "Springfield, MissouriAmerican Airlines" "Convair CV-240-0N94234" "13/35(0)" 1955 1955-03-20 13 35 0
"1829" "22 Mar 1955" "Oahu, HawaiiMilitary - U.S. Navy" "Douglas R6D-1 (C-118B)131612" "66/66(0)" 1955 1955-03-22 66 66 0
"1929" "26 Mar 1955" "Off the Oregon coastPan American World Airways" "Boeing 377 Stratocruiser 10-26N1032V" "4/23(0)" 1955 1955-03-26 4 23 0
"2029" "02 Apr 1955" "Off Pensacola, FloridaAaxico Airlines" "Curtiss C-46AN51424" "2/2(0)" 1955 1955-04-02 2 2 0
"2140" "04 Apr 1955" "Islip, New YorkUnited Air Lines" "Douglas DC-6N37512" "3/3(0)" 1955 1955-04-04 3 3 0
"2231" "11 Apr 1955" "Off Great Natuna Island, SarawakAir India" "Lockheed 749A ConstellationVT-DEP" "19/19(0)" 1955 1955-04-11 19 19 0
"2329" "18 Apr 1955" "Kupe Mountains, CameroonsUnion des Transportes Aeriens" "de Havilland DH-114 Heron 1BF-BGOI" "12/14(0)" 1955 1955-04-18 12 14 0
"2428" "18 May 1955" "Mt. Kilimanjaro, KenyaEast African Airways" "Douglas DC-3VP-KKH" "20/20(0)" 1955 1955-05-18 20 20 0
"2528" "21 May 1955" "Off Barcelona, VenezuelaLinea Aeropostal Venezolana" "Douglas C-47-DLYV-C-ALU" "4/16(0)" 1955 1955-05-21 4 16 0
"2627" "26 May 1955" "Edmonton, Alberta, CanadaAssociated Airways" "Avro 685 York C-1CF-HMY" "2/2(0)" 1955 1955-05-26 2 2 0
"2727" "03 Jun 1955" "Fort Lamy, CameroonUnion Aéromaritime de Transport" "Douglas C-54AF-BFVT" "3/3(0)" 1955 1955-06-03 3 3 0
"2825" "16 Jun 1955" "Near Asuncion, ParaguayPanair do Brasil" "Lockheed 049-46-21 ConstellationPP-PDJ" "16/24(0)" 1955 1955-06-16 16 24 0
"2923" "18 Jun 1955" "Leon, MexicoTigres Voladores" "Curtiss C-46XA-LID" "18/39(0)" 1955 1955-06-18 18 39 0
"3023" "14 Jul 1955" "Oaxaca, MexicoLineas Areas Unidas" "Douglas DC-2-243XA-DOB" "22/22(0)" 1955 1955-07-14 22 22 0
"3130" "17 Jul 1955" "Chicago, IllinoisBraniff Airlines" "Convair CV-340-32N3422" "22/43(0)" 1955 1955-07-17 22 43 0
"3226" "27 Jul 1955" "Near Petrich, BulgariaEl Al" "Lockheed 049 Constellation4X-AKC" "58/58(0)" 1955 1955-07-27 58 58 0
"3323" "04 Aug 1955" "Fort Leonard Wood, MissouriAmerican Airlines" "Convair CV-240-0N94221" "30/30(0)" 1955 1955-08-04 30 30 0
"3423" "05 Aug 1955" "Near Voronezh, RussiaAeroflot" "AeroflotL5057" "25/25(0)" 1955 1955-08-05 25 25 0
"3521" "11 Aug 1955" "Near Edelweiler, West GermanyMilitary - U.S. Air Force / Military - U.S. Air Force" "Fairchild C119G / Fairchild C119G53-3222/53-7841" "67/67(0)" 1955 1955-08-11 67 67 0
"3620" "26 Aug 1955" "Caparao Mountain, BrazilCruzeiro" "Douglas DC-3PP-CBY" "13/13(0)" 1955 1955-08-26 13 13 0
"3718" "30 Aug 1955" "Simra, NepalKalinga Airlines" "Douglas C-47AVT-AZX" "2/3(0)" 1955 1955-08-30 2 3 0
"3818" "02 Sep 1955" "Lanywa, Burma (Myanmar)Union of Burma Airways" "Douglas DC-3XY-ACQ" "12/12(0)" 1955 1955-09-02 12 12 0
"3917" "08 Sep 1955" "Burbank, CaliforniaCurrey Air Transport" "Douglas DC-3N74663" "2/33(1)" 1955 1955-09-08 2 33 1
"4016" "10 Sep 1955" "Near Banyo, CameroonSociete France Hydro" "Latecoere 631 (flying boat)F-BDRE" "16/16(0)" 1955 1955-09-10 16 16 0
"4125" "17 Sep 1955" "Near Thorhild, Alberta, CanadaPacific Western Airlines" "Bristol 170 Freighter 31CF-GBT" "2/6(0)" 1955 1955-09-17 2 6 0
"4223" "22 Sep 1955" "Idris, LibyaBritish Overseas Airways" "Canadair C-4 ArgonautG-ALHL" "15/47(0)" 1955 1955-09-22 15 47 0
"4320" "24 Sep 1955" "Pacific Ocean (1,000 miles west of Honolulu, HI)Flying Tiger Line" "Douglas C-54AN90433" "3/5(0)" 1955 1955-09-24 3 5 0
"4417" "29 Sep 1955" "Yellowknife, Northwest Territory, CanadaAssociated Airways" "Avro 685 York C-1CF-HMV" "1/2(0)" 1955 1955-09-29 1 2 0
"4516" "02 Oct 1955" "Pico Oiriruma-Vinac, PeruFaucett" "Douglas C54AOB-PAZ-228" "19/35(0)" 1955 1955-10-02 19 35 0
"4614" "06 Oct 1955" "Near Centennial, WyomingUnited Air Lines" "Douglas DC-4N30062" "66/66(0)" 1955 1955-10-06 66 66 0
"4714" "10 Oct 1955" "Near Vienna, AustriaJAT Yugoslav Airlines" "Convair CV-340-58YU-ADC" "7/29(0)" 1955 1955-10-10 7 29 0
"4814" "01 Nov 1955" "Longmont, ColoradoUnited Air Lines" "Douglas DC-6BN37559" "44/44(0)" 1955 1955-11-01 44 44 0
"4914" "17 Nov 1955" "Near Las Vegas, NevadaMilitary - U.S. Air Force" "Douglas MC-54M44-9068" "14/14(0)" 1955 1955-11-17 14 14 0
"5014" "17 Nov 1955" "Seattle, WashingonPeninsular" "Douglas C-54N88852" "28/74(0)" 1955 1955-11-17 28 74 0
"5122" "20 Nov 1955" "Iwo Jima, JapanMilitary - US Air Force" "Douglas C124-DL Globemaster II51-0149" "10/11(0)" 1955 1955-11-20 10 11 0
"5219" "30 Nov 1955" "Near Ballico, CaliforniaMilitary - U.S. Air Force" "Boeing RB-52B52-8716" "10/10(0)" 1955 1955-11-30 10 10 0
"5316" "01 Dec 1955" "Belem, BrazilCruzeiro" "Douglas DC-3PP-CCC" "6/6(0)" 1955 1955-12-01 6 6 0
"5414" "09 Dec 1955" "Khabarovsk Territory, RussiaAeroflot" "Li-2CCCP-L4993" "21/21(0)" 1955 1955-12-09 21 21 0
"5513" "17 Dec 1955" "Hollywood, South CarolinaRiddle Airlines" "Curtiss C-46AN9904F" "2/2(0)" 1955 1955-12-17 2 2 0
"5613" "19 Dec 1955" "Sao Paulo, BrazilCruzeiro Do Sud" "Douglas DC-3?" "26/26(0)" 1955 1955-12-19 26 26 0
"5711" "21 Dec 1955" "Jacksonville, FloridaEastern Air Lines" "Lockheed 749C-79-12 ConstellationN112A" "17/17(0)" 1955 1955-12-21 17 17 0
"1146" "12 Jan 1956" "Frederick Henry Bay,  AustraliaAnsett ANA" "Douglas C-47VH-BZA" "1/2(0)" 1956 1956-01-12 1 2 0
"2141" "17 Jan 1956" "Oreway, Newfoundland, CanadaQuebecair" "Douglas DC-3CF-GVZ" "4/18(0)" 1956 1956-01-17 4 18 0
"3107" "18 Jan 1956" "Torysa, CzechoslovakiaCeskoslovenske Aerolinie" "Douglas DC-3OK-WDZ" "22/26(0)" 1956 1956-01-18 22 26 0
"4102" "28 Jan 1956" "Lyon, FranceAir France" "Douglas C-47F-BCYK" "3/3(0)" 1956 1956-01-28 3 3 0
"590" "13 Feb 1956" "Frobisher Bay, CanadaMaritime Central Airways" "Bristol 170 Freighter 31CF-FZU" "2/2(0)" 1956 1956-02-13 2 2 0
"669" "14 Feb 1956" "Near Fort Chimo, Quebec, CanadaSpartan Air Services" "Douglas C-47-DLCF-BZH" "2/3(0)" 1956 1956-02-14 2 3 0
"748" "17 Feb 1956" "Near Niles, CaliforniaMilitary - U.S. Marine Corps" "Douglas R5D239116" "40/40(0)" 1956 1956-02-17 40 40 0
"838" "18 Feb 1956" "Near Zurrieg, MaltaScottish Airlines" "Avro 685 York C-1G-ANSY" "50/50(0)" 1956 1956-02-18 50 50 0
"935" "20 Feb 1956" "Near Cairo, EgyptTransport Aerien Intercontinentaux (France)" "Douglas DC-6BF-BGOD" "52/64(0)" 1956 1956-02-20 52 64 0
"1035" "24 Feb 1956" "Near Aleppo, SyriaSyrian Airways" "Douglas DC-3YK-AAE" "19/19(0)" 1956 1956-02-24 19 19 0
"1147" "25 Feb 1956" "Jalkot, PakistanPakistan International Airlines" "Douglas C-47BAP-ACZ" "3/3(0)" 1956 1956-02-25 3 3 0
"1236" "21 Mar 1956" "Tezpur, IndiaIndian Airlines" "Douglas DC-3VT-CGN" "2/21(0)" 1956 1956-03-21 2 21 0
"1334" "28 Mar 1956" "Largs, EnglandStarways" "Douglas C-47BG-AMRB" "1/3(0)" 1956 1956-03-28 1 3 0
"1432" "31 Mar 1956" "Indapur, IndiaNational Air Operators" "Douglas C-47AVT-DCM" "3/3(0)" 1956 1956-03-31 3 3 0
"1530" "31 Mar 1956" "Korat ,ThailandMilitary - Royal Thai Air Force" "Douglas C-47AL2-14/96" "19/19(0)" 1956 1956-03-31 19 19 0
"1630" "01 Apr 1956" "Pittsburgh, PennsylvaniaTrans World Airlines" "Martin 404N40403" "22/36(0)" 1956 1956-04-01 22 36 0
"1730" "02 Apr 1956" "Seattle, WashingtonNorthwest Orient Airlines" "Boeing 377 Stratocruiser 10-30N74608" "5/38(0)" 1956 1956-04-02 5 38 0
"1830" "09 Apr 1956" "Skilak Lake, AlaskaCordova Airlines" "Aero Commander  520B5386N" "6/6(0)" 1956 1956-04-09 6 6 0
"1930" "18 Apr 1956" "Parintins, BrazilPanair do Brasil" "Consolidated PBY-5A CatalinaPP-PDB" "3/12(0)" 1956 1956-04-18 3 12 0
"2030" "30 Apr 1956" "London, EnglandScottish Airlines" "Avro 685 York C-1G-AMUL" "2/54(0)" 1956 1956-04-30 2 54 0
"2142" "15 May 1956" "Kathmandu, NepalIndian Airlines" "Douglas DC-3VT-DBA" "14/31(1)" 1956 1956-05-15 14 31 1
"2232" "15 May 1956" "Orleans, Ontario, CanadaMilitary - Royal Canadian Air Force" "CF-100 Mark 4B18367" "2/2(13)" 1956 1956-05-15 2 2 13
"2330" "24 May 1956" "Guatemala City, GuatemalaAviateca" "Douglas C-47-DL (DC-3)TG-AHA" "30/31(0)" 1956 1956-05-24 30 31 0
"2429" "13 Jun 1956" "Over North CarolinaPiedmont" "Douglas DC-3?" "1/?(0)" 1956 1956-06-13 NA NA NA
"2529" "20 Jun 1956" "Asbury Park, New JerseyLinea Aeropostal Venezolana" "Lockheed 1049E-55 Super ConstellationYV-C-AMS" "74/74(0)" 1956 1956-06-20 74 74 0
"2628" "24 Jun 1956" "Kano, NigeriaBritish Overseas Airways" "Canadair C-4 ArgonautG-ALHE" "32/45(0)" 1956 1956-06-24 32 45 0
"2728" "30 Jun 1956" "Grand Canyon, ArizonaUnited Air Lines / Trans World Airlines" "Douglas DC-7 / Lockheed S ConstellationN6902C/N6324C" "128/128(0)" 1956 1956-06-30 128 128 0
"2826" "09 Jul 1956" "Near Flat Rock, MichiganTrans Canada Air Lines" "Vickers ViscountCF-TGR" "1/35(0)" 1956 1956-07-09 1 35 0
"2924" "13 Jul 1956" "Near Brows Mills, New JerseyMilitary - U.S. Air Force" "Douglas C-118A53-3301A" "46/66(0)" 1956 1956-07-13 46 66 0
"3024" "15 Jul 1956" "Shannon, IrelandSwissair" "Convair CV-440-11HB-IMD" "4/4(0)" 1956 1956-07-15 4 4 0
"3131" "16 Jul 1956" "Rio Cuarto, ArgentinaAerolineas Argentinas" "Douglas DC-3LV-ACD" "18/18(0)" 1956 1956-07-16 18 18 0
"3227" "08 Aug 1956" "Thazi, BurmaUnion of Burma Airways" "Douglas DC-3XY-ADC" "12/22(0)" 1956 1956-08-08 12 22 0
"3324" "29 Aug 1956" "Cold Bay, AlaskaCanadian Pacific Air Lines" "Douglas DC-6BCF-CUP" "15/22(0)" 1956 1956-08-29 15 22 0
"3424" "09 Sep 1956" "Amman, JordanJordan International Airlines" "Curtiss C-46A-45-CUJY-ABV" "1/57(0)" 1956 1956-09-09 1 57 0
"3522" "09 Sep 1956" "Bartlesville, OklahomaContinental Airlines" "Douglas DC-3 / Cessna 170BN33315 / N8143A" "0/18(0)" 1956 1956-09-09 0 18 0
"3621" "02 Oct 1956" "Near Nome, AlaskaAlaska Airlines" "Stinson AT-19N 79069" "5/5(0)" 1956 1956-10-02 5 5 0
"3719" "10 Oct 1956" "Off Land's End, EnglandMilitary - U.S. Navy" "Douglas C188-B1311588" "59/59(0)" 1956 1956-10-10 59 59 0
"3819" "16 Oct 1956" "Over the Pacific OceanPan American World Airways" "Boeing  377 StratocruiserN90943" "0/31(0)" 1956 1956-10-16 0 31 0
"3918" "19 Oct 1956" "Agartala, IndiaIndian Airlines" "Douglas DC-3VT-DGK" "3/3(0)" 1956 1956-10-19 3 3 0
"4017" "28 Oct 1956" "Over the Mediterranean SeaMilitary - Egyptian Air Force" "Curtiss C-46SU-AAB" "16/16(0)" 1956 1956-10-28 16 16 0
"4126" "05 Nov 1956" "Blackbushe, EnglandBritavia" "Handley Page HP-1 HermesG-ALDJ" "7/80(0)" 1956 1956-11-05 7 80 0
"4224" "07 Nov 1956" "Hommelfjell, NorwayBraathens" "de Havilland DH-114 Heron 2BLN-SUR" "2/12(0)" 1956 1956-11-07 2 12 0
"4321" "15 Nov 1956" "Puerto Somoza, NicaraguaAerovias Guest" "Douglas C-54A-10-DCXA-HEG" "25/25(0)" 1956 1956-11-15 25 25 0
"4418" "17 Nov 1956" "El Rucio Mountain, ColombiaEmpresa Aviacion del Pacifico" "Douglas DC-3HK-385" "36/36(0)" 1956 1956-11-17 36 36 0
"4517" "24 Nov 1956" "Paris, FranceLinee Aeree Italiane" "Douglas DC-6BI-LEAD" "34/35(8)" 1956 1956-11-24 34 35 8
"4615" "24 Nov 1956" "Near Eglisau, SwitzerlandCeskoslovenske Aerolinie" "Ilyushin IL-12BOK-DBP" "23/23(0)" 1956 1956-11-24 23 23 0
"4715" "27 Nov 1956" "Caracas, VenezuelaLinea Aeropostal Venezolana" "Lockheed 749-79-34 ConstellationYV-C-AMA" "25/25(0)" 1956 1956-11-27 25 25 0
"4815" "08 Dec 1956" "Caqueta, ColombiaAIDA" "Consolidated PBY-5A CatalinaHK-133" "14/16(0)" 1956 1956-12-08 14 16 0
"4915" "09 Dec 1956" "Near Chilliwack, British Columbia, CanadaTrans Canada Air Lines" "Canadair DC-4M-2 NorthstarCF-TFD" "62/62(0)" 1956 1956-12-09 62 62 0
"5015" "12 Dec 1956" "Dannemois, FranceAir France" "Vickers 708 ViscountF-BGNK" "5/5(0)" 1956 1956-12-12 5 5 0
"5123" "22 Dec 1956" "Grub, GermanyJAT Yugoslav Airlines" "Convair CV-340-58YU-ADA" "3/30(0)" 1956 1956-12-22 3 30 0
"5220" "22 Dec 1956" "Mt. Giner, ItalyLinee Aeree Italiane" "Douglas DC-3I-LINC" "21/21(0)" 1956 1956-12-22 21 21 0
"5317" "31 Dec 1956" "Dhahran, Saudi ArabiaMilitary - U.S. Air Force" "Lockheed C-121C Super Constellation54-0165" "12/38(0)" 1956 1956-12-31 12 38 0
"1148" "06 Jan 1957" "Owasso, OklahomaAmerican Airlines" "Convair CV-240-0N94247" "1/10(0)" 1957 1957-01-06 1 10 0
"2143" "11 Jan 1957" "Near Buenos Aires, ArgentinaLineas Aereas del Estado" "Vickers 615 Viking 1BT-11" "17/33(1)" 1957 1957-01-11 17 33 1
"3108" "23 Jan 1957" "Ometepe Island, NicaraguaLanica" "Douglas DC-3AN-AEC" "16/16(0)" 1957 1957-01-23 16 16 0
"4103" "29 Jan 1957" "Paris, FranceAir France" "SNCASE SE.2010 ArmagnacF-BAVG" "2/70(0)" 1957 1957-01-29 2 70 0
"5100" "31 Jan 1957" "Near Sunland, CaliforniaDouglas Aircraft" "Douglas DC-7B / U.S. Air Force F-89JN8210H/52-187OA" "5/6(3)" 1957 1957-01-31 5 6 3
"670" "01 Feb 1957" "New York, New YorkNortheast Airlines" "Douglas DC-6AN34954" "21/101(0)" 1957 1957-02-01 21 101 0
"749" "22 Feb 1957" "Kimpo Air Base, South KoreaMilitary - U.S. Air Force" "Douglas C-124C51-141A" "22/159(0)" 1957 1957-02-22 22 159 0
"839" "02 Mar 1957" "Blyn, WashingtonAlaska Airlines" "Douglas C-54BN90449" "5/5(0)" 1957 1957-03-02 5 5 0
"936" "04 Mar 1957" "Near Miho AB, JapanJapanese Air Force" "Curtiss C-46D-15--CU51-1110" "17/17(0)" 1957 1957-03-04 17 17 0
"1036" "05 Mar 1957" "Drayton, EnglandMilitary -Royal Air Force" "Blackburn Beverley C Mark 1XH117" "18/22(2)" 1957 1957-03-05 18 22 2
"1149" "09 Mar 1957" "El Soldado, ColombiaAVIANCA" "Douglas DC-3HK-155" "15/15(0)" 1957 1957-03-09 15 15 0
"1237" "14 Mar 1957" "Manchester, EnglandBritish European Airways" "Vickers Viscount 701G-ALWE" "20/20(2)" 1957 1957-03-14 20 20 2
"1335" "17 Mar 1957" "Near Cebu, PhilippinesMilitary - Philippine Air Force" "Douglas C-47-A-75-DL Skytrain2100925" "24/25(0)" 1957 1957-03-17 24 25 0
"1433" "18 Mar 1957" "Near Sayari, BoliviaLloyd Aereo Boliviano" "Douglas DC-3CP-535" "19/19(0)" 1957 1957-03-18 19 19 0
"1531" "22 Mar 1957" "Over the North Pacific OceanMilitary - U.S. Air Force" "Boeing C-97C50-702A" "67/67(0)" 1957 1957-03-22 67 67 0
"1631" "07 Apr 1957" "Bage, BrazilVarig" "Curtiss C-46A-45-CUPP-VCF" "40/40(0)" 1957 1957-04-07 40 40 0
"1731" "08 Apr 1957" "Algiers, AlgeriaAir France" "Douglas DC-3F-BEIK" "34/34(0)" 1957 1957-04-08 34 34 0
"1831" "10 Apr 1957" "Anchieta Island, BrazilREAL" "Douglas DC-3PP-ANX" "26/30(0)" 1957 1957-04-10 26 30 0
"1931" "15 Apr 1957" "Merida, MexicoTransportes Aéreos Mexicanos" "Consolidated B-24JXA-KUN" "3/3(1)" 1957 1957-04-15 3 3 1
"2031" "17 Apr 1957" "Near El Quweira, JordanMilitary -Royal Air Force" "Vickers Valetta C-Mk.1VW832" "24/24(0)" 1957 1957-04-17 24 24 0
"2144" "20 Apr 1957" "Jirkouk, IraqAir France" "Lockheed Super ConstellationF-BGNE" "1/?(0)" 1957 1957-04-20 NA NA NA
"2233" "01 May 1957" "Blackbushe, Hants, EnglandEagle Aviation" "Vickers Viking 1BG-AJBO" "34/35(0)" 1957 1957-05-01 34 35 0
"2331" "05 May 1957" "Santoshpur, IndiaIndian Airlines" "Douglas C-47AVT-AUV" "1/3(0)" 1957 1957-05-05 1 3 0
"2430" "09 May 1957" "Barajas, Madrid, SpainAviaco" "Bristol 170 FreighterEC-ADI" "37/37(0)" 1957 1957-05-09 37 37 0
"2530" "13 May 1957" "New Delhi, IndiaIndian Airlines" "Douglas DC-3VT-CFB" "2/2(3)" 1957 1957-05-13 2 2 3
"2629" "13 May 1957" "Near San Carlos de Bariloche, ArgentinaLineas Aereas del Estado" "Vickers 615 Viking 1BT-3" "16/16(0)" 1957 1957-05-13 16 16 0
"2729" "13 May 1957" "Narsarressuak, GreenlandU.S. Overseas Airways" "Douglas DC-4N68736" "2/3(0)" 1957 1957-05-13 2 3 0
"2827" "14 Jun 1957" "Near Moscow, RussiaLOT Polish Airlines" "Ilyushin P-14SP-LNF" "9/13(0)" 1957 1957-06-14 9 13 0
"2925" "18 Jun 1957" "Bodensee, SwitzerlandSwissair" "Douglas C-47BHB-IRK" "9/9(0)" 1957 1957-06-18 9 9 0
"3025" "22 Jun 1957" "Near Clarksburg, MarylandCapital Airlines" "Douglas C-47AN88835" "3/3(0)" 1957 1957-06-22 3 3 0
"3132" "23 Jun 1957" "Port Hardy, BC, CanadaPacific Western" "Douglas DC-3CF-EPI" "14/18(0)" 1957 1957-06-23 14 18 0
"3228" "24 Jun 1957" "Horn Island, Queensland, AustraliaAdastra Airways" "L-Hudson?" "6/?(?)" 1957 1957-06-24 NA NA NA
"3325" "01 Jul 1957" "Bay of Bengal, PakistanPakistan International Airlines" "Douglas DC-3AP-AJS" "24/24(0)" 1957 1957-07-01 24 24 0
"3425" "03 Jul 1957" "Near Fort Rupert, Quebec, CanadaKenting Air" "Lockheed L-414 HudsonCF-CRL" "4/4(?)" 1957 1957-07-03 NA NA NA
"3523" "16 Jul 1957" "Near Hsinchu, Taiwan (Formosa)Military - United States Air Force" "Douglas C-47A-90 (DC-3)43-15867" "16/16(0)" 1957 1957-07-16 16 16 0
